"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.05236268333386e-10,0.517639901632662,0.957,0.888,4.89629498033585e-06,"6","NPM1"
3.07267638932158e-10,1.20075972924537,0.671,0.483,4.92888019611074e-06,"6","LSM5"
3.75741818204402e-10,0.617871386628819,0.886,0.76,6.02727450581682e-06,"6","CLTA"
3.81129636669693e-10,0.740716900106844,0.786,0.681,6.11370050181855e-06,"6","CAPZA2"
4.03260404878775e-10,0.731650936765587,0.886,0.75,6.46870015466042e-06,"6","H2AFZ"
6.03912038227652e-10,0.635102529344334,0.843,0.744,9.68735300520976e-06,"6","VAPA"
7.29290123091938e-10,0.580184910447305,0.929,0.816,1.16985428645178e-05,"6","RPL36A"
8.06994675253958e-10,1.21542434324015,0.671,0.482,1.29450015857487e-05,"6","FUNDC2"
8.42954003220334e-10,1.08321199047985,0.7,0.507,1.35218251656574e-05,"6","NDUFB3"
8.62797560314453e-10,0.94971288973715,0.757,0.551,1.38401356650041e-05,"6","UBE2D2"
9.31137617345255e-10,0.83201630175307,0.8,0.622,1.49363785198352e-05,"6","CA2"
1.11655763861191e-09,1.03300515389895,0.714,0.545,1.79107010809737e-05,"6","PLA2G16"
1.18924827394293e-09,0.622355200281229,0.957,0.775,1.90767315623185e-05,"6","NUPR1"
1.33649874748444e-09,0.701131318947164,0.843,0.728,2.14387764083978e-05,"6","SMDT1"
1.39317167437395e-09,1.56510055104653,0.514,0.254,2.23478668286326e-05,"6","HMGB3"
1.41141094039847e-09,0.673853594851842,0.886,0.742,2.26404428949319e-05,"6","MRPL41"
1.56951003681695e-09,0.703021468690746,0.871,0.727,2.51765105005806e-05,"6","USMG5"
1.89008105031251e-09,0.607652379926276,0.857,0.796,3.0318790128063e-05,"6","FKBP2"
1.96036854858304e-09,1.49927827223834,0.529,0.288,3.14462718878206e-05,"6","RWDD4"
2.15395186077421e-09,0.545428850850792,0.943,0.815,3.4551541798679e-05,"6","HSPE1"
2.15667114358965e-09,1.10565121664519,0.686,0.468,3.45951618143215e-05,"6","GCSH"
2.58977599794658e-09,0.84574774559415,0.786,0.594,4.15425967830612e-05,"6","NDUFS4"
2.65510292817736e-09,0.685840183448794,0.871,0.716,4.2590506070893e-05,"6","FAM162A"
2.72863053467954e-09,0.551774140315104,0.943,0.862,4.37699624067944e-05,"6","RPS27L"
2.92184649771179e-09,0.741490728341117,0.8,0.725,4.68693396697949e-05,"6","TXN"
3.03624187409796e-09,1.04684333143212,0.7,0.442,4.87043559024054e-05,"6","ADI1"
3.04799637547056e-09,0.831999196232887,0.771,0.575,4.88929098589232e-05,"6","ROMO1"
3.44099080415016e-09,1.23437017315018,0.629,0.398,5.51969334893726e-05,"6","COA3"
3.85115821403994e-09,1.16399885287022,0.657,0.405,6.17764289114146e-05,"6","C7orf55"
3.86889832383881e-09,0.618649267504242,0.829,0.763,6.20609980126984e-05,"6","SEC61G"
4.61020739385303e-09,0.630225397159562,0.871,0.788,7.39523368047965e-05,"6","NDUFB10"
4.70887207961739e-09,1.52987837718517,0.514,0.256,7.55350170291426e-05,"6","FABP3"
